,Código municipio,Municipio,2009_1,2009_2,2009_3,2009_4,2010_5,2009_6,2009_7,2009_8,2009_9,2009_10,2009_11,2009_12,2011_13,2009_14,2009_15,2009_16,2001_17,2009_18,2009_19,2009_20,2005_21,2005_22,2009_23,2009_24,2005_25,2011_26,2009_27,2009_28,2009_29,2009_30,2009_31,2012,2009_33,2009_34,2009_35,2009_36,2009_37,2009_38,2009_39,2009_40,2009_41,2009_42,2010_43,2010_44,2010_45,2011_46,2009_47,2009_48,2011_49,2009_50,2009_51,2009_52,2005_53,2005,2006_55,2009_56,2009_57,2009_58,2006_59,2007,2009_61,2001_62,2010,2009_64,2011_elecc,2011_partic
0,48001,Abadiño,43.75,8.65,0.0,185.36,33.4,0.0,4.55,0.0,2.0,96.44,0.0,6.04,145.52,11.71,7.3,201.11,88.98,23.68,2.74,2.75,212.71,44.28,100.0,3.41,43.85,73.8,49.69,46.73,13.71,16.76,19.97,4.83,63.27,6.06,13.95,289.99,10.94,1.38,0.73,20.38,9.44,0.0,19.51,56.11,16.89,94.05,4.16,7260.0,66.02,0.55,4.55,2.41,1.16,55.01,90.64,8.75,10.4,12.9,0.88,12.94,5.86,11.24,7.6,8.5,71.16,2
1,20001,Abaltzisketa,25.0,0.0,0.0,269.94,37.6,0.0,0.0,0.0,3.0,96.71,0.0,3.12,154.65,0.0,0.0,28.21,100.0,32.14,0.0,0.0,261.93,49.18,0.0,7.69,52.75,71.6,43.61,69.89,18.35,16.67,4.17,35.0,79.17,15.82,18.67,585.88,0.0,0.0,0.9,12.27,0.0,0.0,14.75,43.53,11.51,100.0,1.9,316.0,74.44,0.0,9.49,0.26,0.18,50.36,110.75,103.45,92.02,18.69,6.53,10.73,20.61,31.4,22.98,14.93,66.13,2
2,48002,Abanto y Ciérvana-Abanto Zierbena,30.77,9.6,0.0,250.51,37.0,0.0,2.63,9.77,3.0,98.08,0.0,0.41,184.19,9.12,4.56,595.49,94.7,23.48,3.09,3.11,480.39,92.71,88.17,3.4,42.44,67.2,47.9,51.52,15.68,21.74,13.04,2.39,65.22,6.22,13.99,240.1,7.2,1.04,0.76,4.52,0.0,61.39,20.98,55.96,16.29,84.89,1.63,9647.0,80.36,1.34,0.0,10.19,2.16,38.46,76.86,8.6,14.6,9.29,0.82,8.6,8.15,10.63,21.09,18.13,65.24,2
3,20002,Aduna,80.0,36.14,0.0,326.34,23.4,46.62,17.99,0.0,1.0,96.71,0.0,-2.41,294.39,2.49,4.99,57.29,100.0,32.3,0.0,0.0,301.7,39.12,0.0,5.0,52.75,66.1,91.57,55.43,14.46,16.53,26.45,6.56,57.02,17.46,19.2,-900.8,0.0,0.0,1.79,9.32,0.0,0.0,16.31,53.21,17.38,100.0,2.99,401.0,81.7,2.33,17.46,4.54,3.71,66.71,108.36,5.03,37.3,12.05,1.59,8.34,29.35,14.69,8.29,24.1,86.46,1
4,20016,Aia,33.33,15.63,0.0,114.6,28.5,0.0,5.03,4.98,3.0,98.9,27.75,4.03,156.28,3.06,3.06,34.96,98.11,38.45,4.98,5.11,331.52,64.61,83.33,4.82,28.6,73.4,43.87,59.58,15.63,21.78,26.22,32.07,52.0,16.85,17.06,219.79,4.98,0.0,0.72,365.22,0.0,59.41,13.06,51.44,16.77,100.0,4.9,1958.0,75.42,0.5,10.73,0.79,0.73,51.96,109.75,4.49,9.97,15.63,3.98,20.39,17.74,17.67,11.07,14.97,69.73,2
5,20003,Aizarnazabal,20.0,8.71,0.0,338.98,39.1,0.0,10.46,0.0,3.0,98.9,0.0,1.45,350.9,10.46,4.48,102.92,96.88,12.77,14.12,0.0,198.13,24.91,0.0,6.06,28.8,73.4,21.77,47.36,11.81,10.71,23.21,21.33,66.07,7.47,15.99,632.18,0.0,0.0,0.8,81.92,0.0,0.0,17.05,46.39,12.46,100.0,8.22,669.0,75.94,1.41,8.97,3.78,4.62,35.08,110.61,4.88,16.95,7.26,4.53,22.03,22.53,23.08,23.12,40.98,78.27,1
6,48911,Ajangiz,66.67,13.39,0.0,64.44,44.1,0.0,0.0,88.89,3.0,98.9,0.0,2.23,195.31,0.0,0.0,60.96,100.0,2.94,0.0,0.0,249.98,33.18,0.0,0.0,41.51,72.1,22.32,63.0,20.67,25.0,15.0,33.33,60.0,6.74,13.71,924.1,0.0,0.0,0.55,42.22,0.0,0.0,18.36,61.04,27.05,100.0,1.57,445.0,75.12,0.0,2.25,2.21,4.25,54.25,128.19,9.32,33.33,8.93,10.03,15.05,6.97,12.43,24.0,32.79,83.6,1
7,20004,Albiztur,66.67,12.74,0.0,215.87,40.4,31.75,18.21,0.0,1.0,96.71,0.0,12.74,196.52,0.0,0.0,24.19,98.86,57.79,0.0,0.0,359.25,63.51,0.0,14.29,52.75,71.8,12.74,59.18,18.59,17.14,22.86,27.91,60.0,12.82,15.06,-412.77,0.0,0.0,1.07,34.92,0.0,0.0,15.27,49.82,19.64,91.67,1.6,312.0,84.13,0.0,0.0,0.43,0.39,64.19,121.94,1.79,3.17,19.11,3.93,6.95,7.96,34.07,22.87,19.61,64.03,2
8,20005,Alegia,59.64,23.54,0.0,360.57,45.5,11.43,6.1,14.29,1.0,96.71,0.0,3.44,200.02,11.54,4.04,222.18,95.0,59.58,5.71,11.54,301.24,43.29,0.0,3.23,52.75,59.9,33.87,57.69,17.6,22.73,15.91,5.8,61.36,5.77,15.0,134.31,11.43,0.0,0.62,0.0,0.0,0.0,17.47,53.51,17.14,100.0,6.35,1733.0,84.16,0.57,-1.15,1.46,0.13,73.85,88.82,19.96,36.58,16.07,1.55,5.86,7.37,24.61,25.27,7.25,66.94,2
9,1001,Alegría-Dulantzi,75.0,3.75,0.0,128.96,23.9,0.0,3.28,0.0,2.0,99.73,0.0,7.5,145.03,5.73,2.29,131.66,91.3,37.46,3.68,0.0,269.73,13.71,100.0,4.4,21.02,78.5,19.12,48.44,8.55,17.65,13.9,5.52,68.45,4.2,20.73,66.55,3.68,0.0,0.66,8.84,0.0,103.31,20.36,65.19,22.59,96.53,6.22,2620.0,82.56,0.37,11.83,6.57,57.99,33.87,111.83,9.94,47.9,12.37,4.55,15.25,97.14,14.92,9.81,8.85,66.4,2
10,20006,Alkiza,0.0,5.63,0.0,201.13,40.2,0.0,20.1,0.0,3.0,96.71,0.0,2.82,247.14,2.8,2.8,30.0,97.67,100.0,0.0,0.0,261.52,61.54,0.0,10.53,52.75,69.3,11.27,65.28,15.13,20.0,16.67,36.11,63.33,19.61,19.05,-81.47,0.0,0.0,0.85,45.33,0.0,0.0,18.62,52.07,16.9,100.0,1.4,357.0,86.54,0.0,-2.8,0.34,0.25,70.17,138.43,12.5,14.16,16.9,4.66,8.33,36.78,29.06,19.88,13.7,74.18,1
11,48912,Alonsotegi,87.5,3.53,0.0,318.25,44.2,0.0,3.06,8.84,3.0,98.08,0.0,2.47,184.27,8.82,2.82,132.48,91.09,38.51,3.54,0.0,514.3,91.62,0.0,4.35,37.68,64.4,44.14,53.99,19.82,21.62,20.46,7.5,57.92,7.05,11.68,338.83,10.61,0.0,0.56,4.24,0.0,0.0,17.23,52.17,17.0,100.0,3.49,2835.0,83.38,0.71,0.71,2.11,0.28,47.29,77.49,6.86,10.96,12.01,3.32,6.02,2.16,12.17,30.1,11.73,73.68,1
12,20906,Altzaga,100.0,6.25,0.0,213.84,42.7,62.89,0.0,0.0,3.0,96.71,0.0,0.0,177.64,0.0,0.0,64.4,100.0,100.0,0.0,0.0,213.68,36.01,0.0,0.0,38.96,68.8,39.25,56.31,11.8,40.0,6.67,13.33,53.33,18.63,22.98,482.89,0.0,0.0,0.56,0.0,0.0,0.0,14.93,54.48,26.12,100.0,2.48,161.0,82.09,6.29,0.0,1.52,3.2,59.6,138.52,163.16,389.94,6.25,2.4,11.68,65.98,40.68,33.77,54.05,78.99,1
13,20007,Altzo,80.0,12.5,0.0,221.11,43.3,25.13,26.49,50.25,3.0,96.71,0.0,-2.5,137.01,0.0,0.0,41.02,98.82,26.78,0.0,0.0,382.39,54.38,0.0,9.52,52.75,66.5,20.0,56.42,10.45,21.05,23.68,14.89,55.26,2.49,22.64,128.2,0.0,0.0,0.86,0.0,0.0,0.0,18.81,59.7,20.6,92.5,2.74,402.0,83.65,2.51,-2.49,0.93,0.41,69.8,146.45,4.4,10.05,15.0,2.19,6.1,18.93,23.13,19.43,32.61,71.57,2
14,20008,Amezketa,100.0,7.06,0.0,25.15,42.3,10.06,7.83,0.0,2.0,96.71,0.0,-1.01,127.56,6.06,0.0,48.06,98.47,41.59,10.06,0.0,262.09,28.46,0.0,5.56,45.39,63.4,25.2,60.71,20.51,35.63,14.94,31.07,49.43,9.09,14.14,723.43,10.06,0.0,0.84,12.07,0.0,0.0,12.35,37.49,12.46,98.28,6.16,990.0,66.84,1.01,5.05,0.98,0.19,61.21,98.76,33.33,67.4,7.06,5.1,9.31,-0.5,26.91,24.08,20.98,73.06,1
15,48003,Amorebieta-Etxano,44.0,5.03,20.35,170.07,34.5,1.67,1.57,3.73,3.0,96.44,19.43,1.4,138.17,12.5,9.02,306.04,76.28,32.22,3.34,1.68,276.2,65.74,76.86,5.58,43.85,75.7,23.01,53.37,16.93,22.13,8.45,3.57,69.42,6.73,13.83,619.66,8.9,0.56,0.62,7.51,0.0,78.83,17.49,58.16,20.77,79.93,6.2,17842.0,61.53,0.89,9.81,3.63,0.19,65.2,91.57,5.87,6.9,9.72,0.83,5.99,9.84,13.44,13.22,9.14,67.74,2
16,48004,Amoroto,66.67,14.6,0.0,183.57,38.1,0.0,0.0,72.46,3.0,98.9,0.0,-7.3,180.25,2.45,2.45,31.63,98.04,17.03,0.0,0.0,244.78,43.18,0.0,12.5,42.0,68.9,17.03,64.52,20.34,15.79,15.79,50.0,68.42,12.25,15.69,325.83,0.0,0.0,0.71,24.15,0.0,0.0,12.3,47.06,17.38,100.0,2.7,408.0,70.45,2.42,-2.45,0.72,0.47,83.26,166.34,24.73,55.56,4.87,16.41,31.58,12.09,18.05,20.43,30.3,71.47,2
17,1002,Amurrio,85.71,10.33,33.3,206.57,37.4,1.99,2.76,8.16,3.0,100.0,5.39,0.1,231.62,11.6,7.43,104.66,83.52,28.77,2.99,1.98,481.64,27.11,91.04,4.41,43.32,73.6,25.42,50.0,16.92,16.36,10.69,11.33,72.96,5.85,11.89,146.74,9.95,0.99,0.64,6.07,0.4,35.86,18.06,57.78,19.16,73.78,6.31,10089.0,56.5,0.7,6.24,2.58,2.27,57.79,97.64,12.08,29.85,8.44,7.14,19.29,3.45,11.17,18.62,10.69,69.56,2
18,20009,Andoain,21.21,16.56,19.07,133.82,34.3,0.68,1.7,3.41,1.0,99.73,18.53,3.95,158.46,10.9,6.47,535.73,86.94,38.86,4.09,2.04,335.49,55.82,85.84,4.25,57.28,71.4,22.15,51.89,17.25,20.16,9.88,3.06,69.96,5.18,13.24,215.13,8.18,0.68,0.58,0.82,0.0,43.56,17.54,55.05,17.06,75.96,4.02,14679.0,71.9,1.43,0.41,3.99,1.35,57.63,79.87,26.37,19.64,12.27,1.2,10.67,3.02,12.56,11.82,8.51,63.38,2
19,20010,Anoeta,100.0,2.16,0.0,156.22,31.9,5.41,5.42,0.0,1.0,96.71,0.0,7.56,157.92,8.64,5.94,451.46,91.41,33.88,5.41,0.0,224.91,31.99,0.0,5.41,52.75,68.1,36.2,53.74,13.29,15.97,13.19,6.29,70.83,4.86,17.07,105.67,5.41,0.0,0.69,3.78,0.0,0.0,17.82,53.17,16.16,96.71,5.35,1851.0,85.1,0.54,4.86,5.93,0.0,53.66,83.11,4.12,5.41,12.97,0.48,4.15,7.74,10.68,7.25,9.38,66.17,2
20,20011,Antzuola,59.64,5.54,0.0,261.92,32.6,9.25,3.99,14.81,3.0,96.44,0.0,10.16,159.32,6.92,2.77,78.27,94.17,20.25,4.63,0.0,287.23,77.31,62.5,4.26,31.45,71.9,60.51,53.65,16.79,21.68,14.69,8.51,63.64,5.07,14.62,733.07,9.25,0.0,0.63,5.55,0.0,21.39,21.59,64.39,20.69,100.0,4.75,2168.0,63.14,0.46,0.92,0.99,0.11,80.69,94.25,10.99,13.88,18.01,8.65,7.81,14.11,13.47,11.25,17.86,72.92,1
21,48005,Arakaldo,28.57,19.23,0.0,892.86,45.2,0.0,0.0,0.0,3.0,100.0,0.0,-9.62,214.49,10.53,21.05,36.54,100.0,33.96,0.0,105.26,293.96,64.37,0.0,0.0,48.71,59.4,115.38,82.69,28.42,22.22,22.22,4.76,55.56,21.05,16.84,297.22,0.0,0.0,1.01,294.64,0.0,0.0,23.47,58.16,17.35,100.0,0.0,95.0,85.71,8.93,-31.58,5.42,6.15,79.62,97.27,2.84,35.71,0.0,1.05,9.55,7.95,26.67,39.34,100.0,81.25,1
22,20012,Arama,33.33,62.2,0.0,435.78,30.9,0.0,18.99,0.0,3.0,96.71,0.0,4.78,163.2,15.08,15.08,153.08,100.0,20.0,0.0,0.0,264.5,69.44,0.0,0.0,30.8,67.8,23.92,73.04,22.11,17.86,14.29,12.5,67.86,5.03,16.08,175.46,0.0,0.0,2.08,0.0,0.0,0.0,21.28,63.3,19.68,92.86,4.02,199.0,88.76,4.59,-5.03,2.54,1.54,57.69,134.96,42.42,64.22,14.35,0.7,9.98,18.45,13.11,12.5,47.62,75.82,1
23,1003,Aramaio,66.67,9.35,0.0,66.8,35.2,0.0,6.64,0.0,3.0,96.44,0.0,-2.0,155.58,6.0,0.67,20.31,95.61,52.49,6.68,0.0,293.72,14.87,0.0,4.44,31.45,68.9,13.35,61.88,19.08,19.75,9.88,25.56,70.37,6.0,15.41,238.3,13.36,0.0,0.79,18.7,0.0,0.0,21.61,60.18,22.35,100.0,2.33,1499.0,89.22,0.0,2.67,0.15,0.88,77.75,121.39,4.5,3.34,10.01,9.78,9.21,9.18,15.6,14.16,16.95,74.75,1
24,48006,Arantzazu,50.0,28.57,0.0,461.54,43.3,0.0,22.25,0.0,3.0,96.44,0.0,3.17,182.25,0.0,0.0,80.26,87.14,47.5,0.0,0.0,254.66,63.14,0.0,0.0,27.94,68.5,47.62,50.25,20.0,6.67,6.67,11.11,86.67,6.56,10.82,623.18,0.0,0.0,0.74,0.0,0.0,0.0,21.84,63.14,23.89,100.0,2.62,305.0,91.98,0.0,3.28,2.58,2.37,74.47,118.2,1.02,3.08,9.52,0.14,6.99,12.96,16.94,36.84,50.0,90.69,1
25,48093,Areatza,37.5,5.28,0.0,302.98,37.3,8.76,3.81,0.0,3.0,96.44,21.13,3.52,182.26,8.84,1.77,124.29,95.93,50.88,8.76,0.0,363.3,51.41,0.0,3.12,58.78,64.7,29.9,59.75,18.57,30.85,5.32,15.58,63.83,7.07,15.65,-64.75,17.51,0.0,0.66,107.71,0.0,0.0,17.54,59.11,21.67,100.0,11.58,1131.0,80.55,0.88,7.96,1.09,0.44,88.24,95.12,21.21,18.39,12.31,0.68,10.2,8.33,18.24,14.93,21.39,81.03,1
26,20013,Aretxabaleta,13.33,4.03,14.8,161.04,32.6,1.49,2.27,9.25,3.0,96.44,0.0,1.34,164.0,9.12,5.08,229.86,77.69,29.04,2.99,0.0,306.64,76.58,65.53,4.94,24.5,79.1,21.66,52.68,16.34,20.4,15.7,3.4,63.9,5.53,14.37,374.52,7.46,1.49,0.62,1.79,1.79,172.14,19.6,63.03,21.54,89.73,4.31,6689.0,72.44,0.6,0.75,1.74,0.07,51.75,87.44,24.31,18.36,10.31,7.74,4.65,9.73,6.97,8.13,6.11,65.11,2
27,1006,Armiñón,100.0,310.19,0.0,195.56,49.2,0.0,0.0,0.0,2.0,98.08,0.0,9.26,169.43,0.0,0.0,19.53,100.0,17.93,0.0,0.0,808.64,9.46,0.0,0.0,54.32,68.2,74.07,58.02,20.29,5.26,21.05,17.39,73.68,4.83,13.53,956.08,0.0,0.0,0.87,0.0,0.0,0.0,18.78,53.81,13.2,95.0,1.93,207.0,86.67,0.0,-4.83,2.26,89.53,8.49,147.68,16.67,177.78,13.89,0.96,18.61,35.29,15.74,28.21,62.5,77.54,1
28,1037,Arraia-Maeztu,31.25,18.34,0.0,494.35,45.2,0.0,8.49,70.62,3.0,98.08,0.0,-7.05,264.14,4.23,1.41,5.77,98.53,75.14,0.0,14.08,285.43,18.95,0.0,12.5,48.45,67.9,33.85,54.35,24.51,25.0,15.0,38.64,60.0,7.04,8.73,47.74,14.12,0.0,0.91,66.38,0.0,0.0,19.16,51.28,15.69,100.0,6.06,710.0,73.73,1.41,-2.82,0.55,15.9,62.75,108.04,4.42,42.37,7.05,15.21,22.31,-0.28,10.58,22.28,285.71,69.82,2
29,48009,Arrankudiaga,83.33,19.67,0.0,510.87,42.4,0.0,0.0,21.74,1.0,100.0,0.0,1.09,142.6,3.3,0.0,39.87,98.61,41.87,0.0,0.0,264.86,25.21,0.0,2.94,37.68,69.7,46.99,56.72,18.92,14.71,27.21,4.51,58.09,6.6,13.97,509.41,0.0,0.0,0.94,9.78,0.0,0.0,17.38,61.0,24.91,94.12,1.87,909.0,83.33,1.09,1.1,1.43,0.7,73.25,104.32,13.19,46.74,13.11,4.07,10.49,22.01,20.62,27.13,35.21,83.07,1
30,20055,Arrasate/Mondragón,48.39,3.9,11.1,181.73,36.3,2.27,2.29,6.77,3.0,96.44,0.0,-1.45,164.28,13.37,9.7,643.27,74.03,21.49,3.63,1.36,339.55,50.91,98.16,5.1,17.3,72.8,29.22,56.27,20.26,17.62,8.69,2.48,73.69,5.89,11.6,352.01,8.18,0.45,0.61,5.72,0.91,31.05,18.44,57.06,19.61,66.26,4.07,22064.0,44.93,1.32,4.8,5.81,0.67,67.0,82.16,17.61,15.95,7.67,5.87,3.5,-8.01,5.23,12.9,5.73,61.1,2
31,48914,Arratzu,50.0,10.61,0.0,142.48,44.1,0.0,0.0,0.0,3.0,98.9,0.0,2.65,195.8,0.0,0.0,38.03,100.0,29.66,0.0,0.0,156.96,43.9,0.0,30.0,41.51,68.8,61.01,54.32,23.2,45.83,8.33,17.24,45.83,5.33,10.13,433.51,0.0,0.0,0.68,0.0,0.0,0.0,16.76,56.25,22.73,92.86,2.93,375.0,91.71,2.64,0.0,0.68,3.85,70.79,145.1,7.46,13.19,10.61,11.27,16.29,-5.06,12.43,21.86,76.92,90.27,1
32,1008,Arratzua-Ubarrundia,50.0,68.7,0.0,741.51,46.4,0.0,0.0,65.72,1.0,99.73,0.0,-1.09,233.6,0.0,2.17,16.05,100.0,37.79,0.0,21.72,286.61,10.84,100.0,0.0,44.45,71.1,118.87,48.07,13.68,15.49,5.63,23.16,78.87,15.2,14.88,772.27,0.0,0.0,0.97,0.0,0.0,105.26,19.64,60.84,20.6,85.19,2.71,921.0,84.39,0.0,-6.51,1.16,33.61,29.32,149.04,9.05,65.72,7.63,2.43,10.38,21.83,10.67,30.15,62.99,70.22,2
33,48010,Arrieta,100.0,3.6,0.0,62.72,46.4,0.0,5.3,0.0,2.0,98.9,0.0,-5.41,285.11,1.81,1.81,38.0,100.0,100.0,0.0,0.0,250.78,78.67,0.0,0.0,54.47,68.2,27.03,65.96,22.14,20.83,12.5,32.35,66.67,3.63,14.88,770.37,0.0,0.0,0.8,0.0,0.0,0.0,14.82,56.13,25.1,100.0,3.45,551.0,87.45,0.0,1.81,0.73,0.14,63.17,125.71,9.43,17.92,5.41,11.77,20.11,12.91,24.65,22.36,59.52,77.37,1
34,48011,Arrigorriaga,57.14,3.79,0.0,2.02,31.3,1.62,2.5,1.7,3.0,100.0,19.96,3.23,180.82,8.2,4.58,777.19,71.15,38.59,3.24,1.61,297.26,40.09,86.23,0.91,35.41,71.7,28.56,52.58,13.82,19.79,13.32,0.86,66.89,5.63,15.83,390.68,8.09,0.8,0.57,14.32,0.0,79.36,16.35,59.42,21.03,94.45,4.04,12435.0,84.16,1.29,1.93,5.69,1.56,57.5,84.63,20.53,15.13,10.24,1.92,6.86,18.08,6.78,11.82,12.21,62.27,2
35,48023,Artea,40.0,6.61,0.0,442.11,37.2,0.0,0.0,5.26,3.0,96.44,72.42,0.0,180.76,3.99,2.66,60.56,99.22,29.56,13.16,13.32,288.81,45.82,0.0,3.33,49.43,72.6,27.78,50.2,17.58,21.67,11.67,7.35,66.67,10.65,13.18,1018.0,0.0,0.0,0.85,44.74,0.0,0.0,17.91,68.58,28.34,100.0,4.66,751.0,89.31,1.32,17.31,1.52,1.94,74.6,111.1,12.17,30.26,7.94,0.82,9.01,21.92,30.15,20.2,36.36,87.69,1
36,48008,Artzentales,60.0,9.71,0.0,104.25,63.5,0.0,5.29,0.0,2.0,100.0,0.0,-6.93,237.75,2.81,2.81,19.4,100.0,80.74,13.72,0.0,297.82,87.41,0.0,11.11,47.61,60.0,58.25,63.3,22.75,40.0,6.0,34.21,54.0,5.62,11.1,127.0,0.0,0.0,0.9,57.61,0.0,0.0,19.05,57.14,15.92,95.0,4.21,712.0,82.27,2.74,39.33,0.43,0.0,58.23,122.25,10.26,21.95,12.48,13.98,23.24,6.27,4.39,47.61,47.06,77.22,1
37,1004,Artziniega,60.0,9.35,0.0,297.03,38.2,0.0,7.33,0.0,2.0,100.0,0.0,1.65,210.57,10.45,6.05,66.35,88.89,38.45,5.5,5.5,360.66,22.3,86.54,1.75,65.34,66.0,25.85,49.26,14.25,21.83,7.04,16.9,71.13,8.8,14.58,47.3,11.0,0.0,0.64,7.7,0.0,194.03,19.39,65.97,21.93,97.38,5.01,1818.0,77.74,0.0,2.75,2.31,0.73,58.03,101.27,9.78,34.1,12.65,14.92,23.27,35.87,1.69,14.51,14.87,72.85,1
38,1009,Asparrena,82.61,19.25,0.0,353.57,47.6,0.0,7.21,0.0,3.0,99.73,13.01,9.63,684.69,4.26,1.22,25.21,98.15,18.54,5.95,12.17,631.71,34.33,66.67,7.69,52.03,67.4,74.01,57.32,19.28,16.13,20.16,17.05,63.71,8.52,13.02,124.75,5.95,0.0,0.8,22.62,0.0,37.74,16.49,48.48,14.57,98.23,7.24,1644.0,59.0,1.79,4.26,1.93,25.67,54.56,100.48,3.97,29.76,15.04,2.76,29.89,5.32,8.43,31.05,46.22,72.16,2
